iter	Passed	Remaining
276	580	1516
277	585	1520
278	586	1515
279	587	1511
280	589	1508
281	590	1503
282	591	1498
283	592	1492
284	593	1487
285	593	1482
286	594	1477
287	595	1472
288	597	1470
289	599	1468
290	600	1463
291	601	1458
292	607	1466
293	608	1461
294	609	1457
295	610	1452
296	611	1448
297	615	1449
298	621	1456
299	622	1451
300	623	1447
301	624	1442
302	625	1439
303	626	1434
304	627	1429
305	632	1433
306	633	1429
307	634	1424
308	636	1422
309	637	1418
310	638	1413
311	639	1409
312	639	1404
313	640	1399
314	641	1395
315	642	1391
316	646	1392
317	648	1389
318	649	1386
319	654	1390
320	655	1387
321	656	1382
322	657	1378
323	658	1373
324	663	1377
325	664	1373
326	665	1370
327	666	1365
328	667	1361
329	668	1357
330	669	1352
331	670	1348
332	670	1343
333	671	1339
334	672	1335
335	673	1331
336	679	1336
337	680	1332
338	681	1329
339	682	1325
340	683	1321
341	684	1317
342	685	1313
343	686	1309
344	688	1307
345	689	1303
346	695	1309
347	696	1305
348	697	1301
349	714	1326
350	715	1322
351	716	1318
352	717	1314
353	717	1310
354	731	1329
355	732	1325
356	733	1321
357	734	1317
358	735	1313
359	736	1309
360	737	1304
361	738	1300
362	743	1304
363	744	1300
364	745	1296
365	745	1292
366	746	1288
367	747	1284
368	748	1280
369	749	1276
370	750	1272
371	751	1268
372	770	1295
373	778	1302
374	779	1299
375	780	1295
376	781	1291
377	782	1287
378	783	1283
379	784	1279
380	785	1275
381	785	1271
382	787	1267
383	788	1265
384	789	1261
385	815	1297
386	816	1293
387	819	1293
388	820	1289
389	822	1286
390	823	1282
391	824	1278
392	825	1274
393	825	1270
394	826	1266
395	827	1262
396	828	1258
397	829	1254
398	830	1250
399	831	1247
400	835	1247
401	836	1243
402	837	1240
403	838	1236
404	839	1233
405	840	1230
406	841	1226
407	842	1222
408	843	1218
409	844	1214
410	845	1211
411	845	1207
412	846	1203
413	853	1207
414	860	1212
415	861	1209
416	862	1205
417	863	1201
418	866	1202
419	868	1199
420	869	1195
421	870	1192
422	871	1188
423	872	1185
424	873	1181
425	874	1177
426	875	1174
427	876	1171
428	877	1167
429	878	1164
430	880	1162
431	882	1160
432	883	1156
433	884	1153
434	885	1149
435	885	1146
436	886	1142
437	887	1139
438	888	1135
439	890	1132
440	891	1129
441	892	1126
442	899	1130
443	900	1127
444	901	1124
445	902	1120
446	903	1117
447	905	1115
448	906	1112
449	907	1109
450	908	1105
451	909	1102
452	915	1104
453	915	1101
454	916	1098
